Gene name,CP number,CP_t,CP_exp,state
SLC7A1,3,4.29570520448349,1.5108050428858,intermediate
SLC7A1,4,7.26263090773075,0.105843479466375,intermediate
SLC7A1,5,10,0.578406575000001,final
SPRY2,1,0,0,initial
SPRY2,2,3.69731695787972,1.35435919715024,intermediate
SPRY2,3,10,0.986131429999999,final
EFNB2,1,0,0,initial
EFNB2,2,2.74732302684162,-0.084972381342006,intermediate
EFNB2,3,6.20735447977782,1.47855315917958,intermediate
EFNB2,4,10,0.5952869485,final
PNP,1,0,0,initial
PNP,2,4.76378898410431,0.320880924051736,intermediate
PNP,3,10,0.32178442,final
FOS,1,0,0,initial
FOS,2,0.575683655605341,5.50746138825606,intermediate
FOS,3,6.69120555791149,1.10744162538438,intermediate
FOS,4,10,2.5343738775,final
TRIM9,1,0,0,initial
TRIM9,2,2.97160969250459,0.111706779585968,intermediate
TRIM9,3,5.96915388345954,1.12339443386256,intermediate
TRIM9,4,10,0.679747973,final
GCH1,1,0,0,initial
GCH1,2,10,0.682246157,final
THBS1,1,0,0,initial
THBS1,2,4.24152413339673,1.37412453140578,intermediate
THBS1,3,10,0.774869559500001,final
CHAC1,1,0,0,initial
CHAC1,2,2.81029270780953,-1.46406652664673,intermediate
CHAC1,3,6.04838856089633,1.80867042128796,intermediate
CHAC1,4,10,0.7157275865,final
ARRDC4,1,0,0,initial
ARRDC4,2,4.11177239379774,3.26259644087512,intermediate
ARRDC4,3,10,1.8897767555,final
PYGO1,N/A,N/A,N/A,N/A
TNFRSF12A,1,0,0,initial
TNFRSF12A,2,4.41125813183742,3.10806185436782,intermediate
TNFRSF12A,3,10,2.632208844,final
PMM2,1,0,0,initial
PMM2,2,3.93250361852877,1.05812591381593,intermediate
PMM2,3,10,0.590571008500001,final
KCTD13,1,0,0,initial
KCTD13,2,4.87663149002787,0.150513672554519,intermediate
KCTD13,3,10,0.70788368,final
TXNL4B,1,0,0,initial
TXNL4B,2,1.62737768475642,-0.847070876234199,intermediate
TXNL4B,3,4.32008896930007,0.901646177715961,intermediate
TXNL4B,4,7.26408964305726,0.256435888528278,intermediate
TXNL4B,5,10,0.605030559999999,final
CMC2,1,0,0,initial
CMC2,2,4.37377614369769,0.606539442250169,intermediate
CMC2,3,10,0.5529075,final
SLC7A5,1,0,0,initial
SLC7A5,2,10,0.572255569999999,final
FAM57A,1,0,0,initial
FAM57A,2,4.17055461251447,1.07962552042848,intermediate
FAM57A,3,10,0.880694134999999,final
KDM6B,1,0,0,initial
KDM6B,2,2.82105978498529,-0.348374847473839,intermediate
KDM6B,3,6.3354631030214,1.46703821236377,intermediate
KDM6B,4,10,0.956845190500001,final
TMEM88,1,0,0,initial
TMEM88,2,10,1.2585452155,final
UBALD2,1,0,0,initial
UBALD2,2,3.87454088752971,1.11834188792398,intermediate
UBALD2,3,10,0.573905055000001,final
BAIAP2,1,0,0,initial
BAIAP2,2,4.68861143820063,0.924846257949564,intermediate
BAIAP2,3,10,1.0823898535,final
FAM83G,N/A,N/A,N/A,N/A
PSMD12,1,0,0,initial
PSMD12,2,4.55542311811315,0.594382823934773,intermediate
PSMD12,3,10,0.606020740000002,final
NPTX1,1,0,0,initial
NPTX1,2,2.99679590509461,-0.264262216505239,intermediate
NPTX1,3,6.747613574592,0.886737637017032,intermediate
NPTX1,4,10,0.441674495000001,final
PMAIP1,1,0,0,initial
PMAIP1,2,4.18870005382689,0.693373698387043,intermediate
PMAIP1,3,10,0.443021380000001,final
SERPINB8,1,0,0,initial
SERPINB8,2,10,1.778188322,final
MIDN,1,0,0,initial
MIDN,2,4.74781792671008,0.599833108418773,intermediate
MIDN,3,10,0.63693557,final
GADD45B,1,0,0,initial
GADD45B,2,4.17159508584817,3.15926418115107,intermediate
GADD45B,3,10,1.8631798195,final
JUNB,1,0,0,initial
JUNB,2,1.96937813256359,2.75714858829154,intermediate
JUNB,3,6.69335784974916,1.31697405977679,intermediate
JUNB,4,10,2.0258888115,final
IER2,1,0,0,initial
IER2,2,1.24932796180978,1.39259938348874,intermediate
IER2,3,6.88566903786674,0.309202208671455,intermediate
IER2,4,10,0.868375355,final
ZFP36,1,0,0,initial
ZFP36,2,4.27717587117892,3.36811965012546,intermediate
ZFP36,3,10,1.8585425635,final
FOSB,1,0,0,initial
FOSB,2,1.48162606367112,3.32369170831229,intermediate
FOSB,3,6.85167291418677,0.84595429364876,intermediate
FOSB,4,10,1.996887531,final
PPP1R15A,1,0,0,initial
PPP1R15A,2,10,1.603898185,final
DNAJB1,1,0,0,initial
DNAJB1,2,1.09420376871199,1.23389984815074,intermediate
DNAJB1,3,7.19466541512422,-0.0242210833396453,intermediate
DNAJB1,4,10,0.685843065,final
SERTAD1,1,0,0,initial
SERTAD1,2,2.1805306844108,0.227138714624453,intermediate
SERTAD1,3,3.25298405843688,2.0383634189831,intermediate
SERTAD1,4,7.77700165073713,-0.23311149924408,intermediate
SERTAD1,5,10,0.695827195000001,final
TGFB1,1,0,0,initial
TGFB1,2,10,1.262808389,final
ERCC1,1,0,0,initial
ERCC1,2,10,1.540593486,final
FOSL2,1,0,0,initial
FOSL2,2,4.29368496527543,0.656264103364724,intermediate
FOSL2,3,10,0.622667313499999,final
MXD1,1,0,0,initial
MXD1,2,3.71068457794082,0.922439431677038,intermediate
MXD1,3,10,0.568512618499998,final
NAGK,N/A,N/A,N/A,N/A
HK2,1,0,0,initial
HK2,2,1.51455552464615,-1.15015597060795,intermediate
HK2,3,3.93222426970681,1.64210140855493,intermediate
HK2,4,7.3361228337321,-0.307714893630921,intermediate
HK2,5,10,0.428886129999999,final
NPAS2,1,0,0,initial
NPAS2,2,4.8211932083126,0.596990120519218,intermediate
NPAS2,3,10,0.512355251499999,final
SPOPL,1,0,0,initial
SPOPL,2,4.80374484917873,0.812695525780977,intermediate
SPOPL,3,10,0.652400500500001,final
INPP1,1,0,0,initial
INPP1,2,4.64732396388849,0.902667068533783,intermediate
INPP1,3,10,1.1107721615,final
COQ10B,1,0,0,initial
COQ10B,2,4.34160364681886,1.2482264833508,intermediate
COQ10B,3,10,0.606055498000002,final
BZW1,1,0,0,initial
BZW1,2,2.59978389191749,0.0463232483849694,intermediate
BZW1,3,6.1172186677217,0.781596672710235,intermediate
BZW1,4,10,0.501225594999999,final
GPR75,1,0,0,initial
GPR75,2,1.55604111935995,-0.657163819974732,intermediate
GPR75,3,4.82239120274382,1.07789995285145,intermediate
GPR75,4,7.11675130620686,-0.0132120622102377,intermediate
GPR75,5,10,0.495280926,final
C2orf42,1,0,0,initial
C2orf42,2,1.77938312855379,-0.612947726575814,intermediate
C2orf42,3,3.44175684507583,1.36511647788544,intermediate
C2orf42,4,7.54714654543465,0.265686250820738,intermediate
C2orf42,5,10,0.554694336500001,final
EGR4,1,0,0,initial
EGR4,2,4.36919483197481,1.24144686889298,intermediate
EGR4,3,10,1.443559204,final
RND3,1,0,0,initial
RND3,2,4.02200520387064,0.825296572835814,intermediate
RND3,3,10,0.7467017995,final
SERPINE2,1,0,0,initial
SERPINE2,2,4.60580634123436,0.834497653211302,intermediate
SERPINE2,3,10,1.0604052705,final
NPPC,1,0,0,initial
NPPC,2,2.78416364744492,0.686821164835115,intermediate
NPPC,3,6.8405058439574,0.0929850398298077,intermediate
NPPC,4,10,0.634749620000001,final
TRIB3,1,0,0,initial
TRIB3,2,4.55995615973918,-0.255561994935929,intermediate
TRIB3,3,10,0.791679522999999,final
PRNP,1,0,0,initial
PRNP,2,2.90054289395522,-0.00714809933572022,intermediate
PRNP,3,6.33181931779196,0.653685854499465,intermediate
PRNP,4,10,0.372797425,final
ROMO1,N/A,N/A,N/A,N/A
SRXN1,1,0,0,initial
SRXN1,2,10,0.603668675,final
RNF24,1,0,0,initial
RNF24,2,3.01102197381036,-0.112406103398223,intermediate
RNF24,3,5.99639321582299,1.06403167054971,intermediate
RNF24,4,10,0.5436829845,final
SDC4,1,0,0,initial
SDC4,2,4.273407056345,1.31081879854925,intermediate
SDC4,3,10,1.265316,final
TIMP3,1,0,0,initial
TIMP3,2,4.07647600438583,1.47236364610959,intermediate
TIMP3,3,10,0.456748064999999,final
BHLHE40,1,0,0,initial
BHLHE40,2,10,0.7722101115,final
ABHD5,1,0,0,initial
ABHD5,2,4.69574407763127,0.539386731049352,intermediate
ABHD5,3,10,0.484992835000002,final
PRKCD,1,0,0,initial
PRKCD,2,2.89028793561757,0.277708909925535,intermediate
PRKCD,3,5.76935939853552,1.55936350989309,intermediate
PRKCD,4,10,0.789133551999999,final
SLC35G2,1,0,0,initial
SLC35G2,2,1.52711846655912,-1.24459569283827,intermediate
SLC35G2,3,4.69417517872721,1.3853310191137,intermediate
SLC35G2,4,7.14916050256529,0.124802859990831,intermediate
SLC35G2,5,10,0.5738644425,final
CSRNP1,1,0,0,initial
CSRNP1,2,4.16923259173614,1.87869415395334,intermediate
CSRNP1,3,10,1.39095431,final
GBE1,1,0,0,initial
GBE1,2,10,1.128519344,final
CLDND1,1,0,0,initial
CLDND1,2,3.06668006092363,-0.39194066627825,intermediate
CLDND1,3,6.5288011536055,0.629056655996349,intermediate
CLDND1,4,10,0.360285025,final
ETV5,1,0,0,initial
ETV5,2,3.80987833823803,1.84258066512278,intermediate
ETV5,3,10,1.2238354885,final
CPEB2,1,0,0,initial
CPEB2,2,1.91555669475258,-0.620914938111374,intermediate
CPEB2,3,6.79576556036085,1.49565353876836,intermediate
CPEB2,4,10,0.4330022745,final
NIPAL1,1,0,0,initial
NIPAL1,2,4.34255187517134,1.56372772685262,intermediate
NIPAL1,3,10,1.3747912005,final
UTP3,1,0,0,initial
UTP3,2,3.96321801321121,1.14931835384116,intermediate
UTP3,3,10,0.5426455345,final
SGMS2,1,0,0,initial
SGMS2,2,4.76959962026806,1.19558309515985,intermediate
SGMS2,3,10,1.336627501,final
OTUD4,1,0,0,initial
OTUD4,2,3.61163505892506,-0.34802170002629,intermediate
OTUD4,3,6.10998684681725,1.06855076533338,intermediate
OTUD4,4,10,0.5199628175,final
ZSWIM6,1,0,0,initial
ZSWIM6,2,2.19991437746816,-0.808208968902433,intermediate
ZSWIM6,3,3.84452824260605,1.54166791034762,intermediate
ZSWIM6,4,7.45411070513586,0.305029060919851,intermediate
ZSWIM6,5,10,0.639295510000002,final
CDK7,1,0,0,initial
CDK7,2,2.81477221371405,-0.196209668094246,intermediate
CDK7,3,6.31080954783683,1.01734852228049,intermediate
CDK7,4,10,0.500343034,final
F2RL1,1,0,0,initial
F2RL1,2,4.36780831181786,0.848445607874535,intermediate
F2RL1,3,10,0.782289555,final
TCF7,1,0,0,initial
TCF7,2,10,0.919565925000001,final
EGR1,1,0,0,initial
EGR1,2,0.447793381645003,7.59694654938221,intermediate
EGR1,3,6.91257212796281,2.28029759885819,intermediate
EGR1,4,10,3.87187197,final
HMGCS1,1,0,0,initial
HMGCS1,2,10,1.28345008,final
ENC1,1,0,0,initial
ENC1,2,4.3051525097866,2.09631199692905,intermediate
ENC1,3,10,1.0665592935,final
HOMER1,1,0,0,initial
HOMER1,2,4.69050193157649,1.16608417114739,intermediate
HOMER1,3,10,1.299179628,final
HBEGF,1,0,0,initial
HBEGF,2,4.25052434202214,1.49157447802934,intermediate
HBEGF,3,10,0.926972327999998,final
SPRY4,1,0,0,initial
SPRY4,2,4.04720152850195,2.20153224752066,intermediate
SPRY4,3,10,1.6688983875,final
DUSP1,N/A,N/A,N/A,N/A
RIOK1,1,0,0,initial
RIOK1,2,2.05767837596831,-0.47060928960234,intermediate
RIOK1,3,4.11243967621637,0.975246519083433,intermediate
RIOK1,4,7.46369633326089,0.22514105278877,intermediate
RIOK1,5,10,0.351925795000001,final
ID4,1,0,0,initial
ID4,2,2.81219771962238,-0.0955508074374098,intermediate
ID4,3,6.18732083606549,0.785600861557891,intermediate
ID4,4,10,0.507883269999999,final
CDKN1A,1,0,0,initial
CDKN1A,2,4.68410821497824,1.36104410739781,intermediate
CDKN1A,3,10,1.410159125,final
C6orf141,1,0,0,initial
C6orf141,2,3.66326716002198,-0.633653181478653,intermediate
C6orf141,3,6.32088323863672,1.82872482435177,intermediate
C6orf141,4,10,1.2262830695,final
TNFAIP3,1,0,0,initial
TNFAIP3,2,3.5514460049482,0.219192756162341,intermediate
TNFAIP3,3,6.05515352264992,1.08814028688175,intermediate
TNFAIP3,4,10,0.726357524,final
STX11,1,0,0,initial
STX11,2,10,1.329106885,final
SERPINB9,1,0,0,initial
SERPINB9,2,4.5099304690403,2.35115563946437,intermediate
SERPINB9,3,10,2.345750636,final
PXDC1,1,0,0,initial
PXDC1,2,4.42689073889682,0.867743227455848,intermediate
PXDC1,3,10,0.979942827,final
AKIRIN2,1,0,0,initial
AKIRIN2,2,10,0.677571159999999,final
CTGF,1,0,0,initial
CTGF,2,4.55617027798248,1.3301622750175,intermediate
CTGF,3,10,1.2033970145,final
UPP1,1,0,0,initial
UPP1,2,10,1.5032801205,final
NPTX2,1,0,0,initial
NPTX2,2,4.23031944273723,1.38231615911371,intermediate
NPTX2,3,10,1.22785816,final
IFRD1,1,0,0,initial
IFRD1,2,2.08736233902922,-1.4810453044745,intermediate
IFRD1,3,6.42745269998767,1.8676525280125,intermediate
IFRD1,4,10,0.913423373500001,final
ZYX,1,0,0,initial
ZYX,2,4.51795215300089,1.04310449406239,intermediate
ZYX,3,10,0.97972622,final
INSIG1,1,0,0,initial
INSIG1,2,3.88135102546739,1.65378481058206,intermediate
INSIG1,3,10,0.93310848,final
EN2,1,0,0,initial
EN2,2,4.32585622156518,1.23997578340437,intermediate
EN2,3,10,1.316052575,final
SBDS,1,0,0,initial
SBDS,2,2.85475057152141,-0.169584434662598,intermediate
SBDS,3,6.20806415108647,0.680724907194568,intermediate
SBDS,4,10,0.382097829999999,final
CACNA2D1,1,0,0,initial
CACNA2D1,2,10,0.671251225499999,final
ABCB1,1,0,0,initial
ABCB1,2,10,1.369872084,final
TFPI2,1,0,0,initial
TFPI2,2,4.38109946366911,5.91494757115304,intermediate
TFPI2,3,10,5.6933430855,final
PDK4,1,0,0,initial
PDK4,2,4.05478570133142,1.43810355587874,intermediate
PDK4,3,10,1.1308412445,final
VGF,1,0,0,initial
VGF,2,5.15980239806391,0.163237104137167,intermediate
VGF,3,10,1.397582508,final
PNPLA8,1,0,0,initial
PNPLA8,2,2.85409639831178,-0.450838073443726,intermediate
PNPLA8,3,6.31378621894486,1.0410591713734,intermediate
PNPLA8,4,10,0.649900544999999,final
FAM3C,1,0,0,initial
FAM3C,2,4.58119357058194,0.663199320591748,intermediate
FAM3C,3,10,0.674012104999999,final
HIPK2,1,0,0,initial
HIPK2,2,3.38393732201905,-0.243355828751161,intermediate
HIPK2,3,6.1930693791521,0.818626859336288,intermediate
HIPK2,4,10,0.471028609999999,final
AGPAT5,1,0,0,initial
AGPAT5,2,10,0.588449095,final
UBXN8,1,0,0,initial
UBXN8,2,2.95210441755652,-0.30658709947337,intermediate
UBXN8,3,6.35569475239009,0.632880895597837,intermediate
UBXN8,4,10,0.58439396,final
MAK16,1,0,0,initial
MAK16,2,2.68706431335846,0.0985921444188686,intermediate
MAK16,3,6.0733447745166,1.03557864171411,intermediate
MAK16,4,10,0.675947382,final
CA2,1,0,0,initial
CA2,2,3.51299001369285,1.14401020667356,intermediate
CA2,3,8,0.930251334999999,final
TRIB1,1,0,0,initial
TRIB1,2,3.92949363302827,2.38551959620772,intermediate
TRIB1,3,10,1.528090595,final
LY6K,1,0,0,initial
LY6K,2,4.43615596016286,1.62240737006552,intermediate
LY6K,3,10,1.3897000645,final
EGR3,1,0,0,initial
EGR3,2,2.21118300018631,6.1950570568851,intermediate
EGR3,3,6,3.9243830345,final
TNFRSF10D,1,0,0,initial
TNFRSF10D,2,2.68813065275726,-0.112065833069283,intermediate
TNFRSF10D,3,6.35980285953395,0.704500701098764,intermediate
TNFRSF10D,4,10,0.581815455000001,final
CLU,1,0,0,initial
CLU,2,4.62210755629582,1.45151368982674,intermediate
CLU,3,10,1.379780716,final
RNF122,1,0,0,initial
RNF122,2,4.33910620372614,1.79025308223891,intermediate
RNF122,3,10,1.155473205,final
PLAT,1,0,0,initial
PLAT,2,4.64668642965274,0.99963157438324,intermediate
PLAT,3,10,0.561133181000001,final
CA8,1,0,0,initial
CA8,2,3.23002046156872,-0.338936381501326,intermediate
CA8,3,6.07229020680537,1.31800565965014,intermediate
CA8,4,10,0.572158109999998,final
GEM,1,0,0,initial
GEM,2,4.30531475883798,2.36345943039813,intermediate
GEM,3,10,1.6556168645,final
CCNE2,1,0,0,initial
CCNE2,2,2.39415887229371,-0.782338756046554,intermediate
CCNE2,3,6.22969608597227,1.0054757283698,intermediate
CCNE2,4,10,0.443450754999999,final
RNF19A,1,0,0,initial
RNF19A,2,1.82381004296906,-1.0447768213757,intermediate
RNF19A,3,3.37161351306289,2.26595380379143,intermediate
RNF19A,4,7.38574124766353,-0.132922024256428,intermediate
RNF19A,5,10,0.525925754500001,final
KLF10,1,0,0,initial
KLF10,2,3.76182503248784,1.90345056769179,intermediate
KLF10,3,10,1.3566804045,final
FBXO32,1,0,0,initial
FBXO32,2,4.30242144182467,1.65200587299957,intermediate
FBXO32,3,10,0.847221224000002,final
NDRG1,1,0,0,initial
NDRG1,2,4.25729977251905,1.11213561643252,intermediate
NDRG1,3,10,0.892879185,final
ARC,1,0,0,initial
ARC,2,3.99392655588871,3.08128508449279,intermediate
ARC,3,10,2.052777345,final
DNAJA1,N/A,N/A,N/A,N/A
TOR1B,1,0,0,initial
TOR1B,2,4.39326387261882,0.708023747313005,intermediate
TOR1B,3,10,0.6331896075,final
KIAA0020,1,0,0,initial
KIAA0020,2,4.53021577155608,0.776894486301374,intermediate
KIAA0020,3,10,0.9454386555,final
TMEM2,1,0,0,initial
TMEM2,2,4.43961503868299,0.913129221600632,intermediate
TMEM2,3,10,1.0870690255,final
TNC,1,0,0,initial
TNC,2,4.74223881440213,0.588813667515338,intermediate
TNC,3,10,0.764984229,final
NRARP,1,0,0,initial
NRARP,2,4.55008240752298,2.01972526107796,intermediate
NRARP,3,10,1.615923496,final
SYAP1,1,0,0,initial
SYAP1,2,4.72134798116181,0.59535868406448,intermediate
SYAP1,3,10,0.506025755000001,final
PBDC1,1,0,0,initial
PBDC1,2,2.27544024260506,-0.83348934784124,intermediate
PBDC1,3,3.43429742302824,2.0470036378186,intermediate
PBDC1,4,7.64202209728145,-0.201600880902459,intermediate
PBDC1,5,10,0.606471752500001,final
ZCCHC12,1,0,0,initial
ZCCHC12,2,4.23972337895418,3.59941175316149,intermediate
