Gene name,CP number,CP_t,CP_exp,state
REV3L,1,0,0,initial
REV3L,2,2.5320984367082,0.940942490085656,intermediate
REV3L,3,5.07724240758133,-3.99801761899224,intermediate
REV3L,4,7,0.11491377470983,final
POMT2,1,0,0,initial
POMT2,2,2.60460575602845,2.44713196309891,intermediate
POMT2,3,4.63428850174212,-3.42134334594428,intermediate
POMT2,4,7,-0.335286477742381,final
METTL13,1,0,0,initial
METTL13,2,2.49972115236387,0.300624076180588,intermediate
METTL13,3,5.02197942234729,-3.37245029438059,intermediate
METTL13,4,7,0.0178725690652663,final
DYRK4,1,0,0,initial
DYRK4,2,3.56524394018468,-3.01090556647957,intermediate
DYRK4,3,7,-2.04264433740849,final
UQCRC1,1,0,0,initial
UQCRC1,2,3.37028719155406,-3.04824510037881,intermediate
UQCRC1,3,7,-1.91384335625029,final
SLC6A13,1,0,0,initial
SLC6A13,2,2.53727592327403,1.36551126401523,intermediate
SLC6A13,3,4.71316884111909,-1.23041647451265,intermediate
SLC6A13,4,7,3.4594316186373,final
IDS,1,0,0,initial
IDS,2,2.27993234755142,1.87918009724129,intermediate
IDS,3,4.97365564595084,-0.210684557600902,intermediate
IDS,4,7,2.18679882000671,final
BTK,1,0,0,initial
BTK,2,2.70257820345533,2.84825959006506,intermediate
BTK,3,4.34418257378265,-3.52617977670668,intermediate
BTK,4,7,-1,final
FYN,N/A,N/A,N/A,N/A
FMO1,1,0,0,initial
FMO1,2,2.5206709470868,6.65035677097282,intermediate
FMO1,3,4.44387795789482,-8.59111877521666,intermediate
FMO1,4,7,-2.22239242133645,final
LYPLA2,N/A,N/A,N/A,N/A
SLC6A7,N/A,N/A,N/A,N/A
ABHD5,1,0,0,initial
ABHD5,2,3.40695966952536,2.59944221293604,intermediate
ABHD5,3,7,2.38527691134103,final
RNF216,1,0,0,initial
RNF216,2,2.29633470678763,-0.374029347922688,intermediate
RNF216,3,4.95975987601822,-1.86691028487083,intermediate
RNF216,4,7,-0.21350059016332,final
PIK3C2A,1,0,0,initial
PIK3C2A,2,3.65477660377398,-0.749941911891199,intermediate
PIK3C2A,3,7,1.12365576066503,final
PPP5C,1,0,0,initial
PPP5C,2,2.18232575357346,-0.999814450671124,intermediate
PPP5C,3,4.87522062394603,-3.31922944857967,intermediate
PPP5C,4,7,-1.54403223666627,final
EXTL3,1,0,0,initial
EXTL3,2,2.29128887607349,-0.715480050567848,intermediate
EXTL3,3,4.76700759211347,-4.02026521830847,intermediate
EXTL3,4,7,-1.27178044829861,final
ELOVL5,1,0,0,initial
ELOVL5,2,3.37774356237943,-2.60123210370632,intermediate
ELOVL5,3,7,-1.67539596716482,final
ALOX5,1,0,0,initial
ALOX5,2,1.59300187827687,4.53859216832913,intermediate
ALOX5,3,5.08652223019909,-3.8022736616724,intermediate
ALOX5,4,7,1.58496250072116,final
UBR7,1,0,0,initial
UBR7,2,3.48076397968518,-2.75675224869486,intermediate
UBR7,3,7,-1.87285896703373,final
MAP4K5,1,0,0,initial
MAP4K5,2,2.59125579929583,1.86457976782989,intermediate
MAP4K5,3,4.47920768588291,-1.95210904796067,intermediate
MAP4K5,4,7,-0.727417610667043,final
MAN2B2,1,0,0,initial
MAN2B2,2,2.42178993739648,1.0656183054644,intermediate
MAN2B2,3,4.92264700891968,-5.41774898667594,intermediate
MAN2B2,4,7,-1.18077821252644,final
CLK1,N/A,N/A,N/A,N/A
POLR3B,N/A,N/A,N/A,N/A
RNF14,1,0,0,initial
RNF14,2,2.26351200153791,-0.638163310697895,intermediate
RNF14,3,4.91426602736302,-4.02767298901962,intermediate
RNF14,4,7,-0.820822052682677,final
POLA2,N/A,N/A,N/A,N/A
ACP3,1,0,0,initial
ACP3,2,2.54286492504491,6.16849175173808,intermediate
ACP3,3,5.06103849497268,-6.79366996060157,intermediate
ACP3,4,7,0.563900885193326,final
MDH1,1,0,0,initial
MDH1,2,3.52070949388404,-2.92243975135769,intermediate
MDH1,3,7,-2.09394472823927,final
DPEP1,N/A,N/A,N/A,N/A
NPC1L1,N/A,N/A,N/A,N/A
XYLT2,1,0,0,initial
XYLT2,2,3.50121455567423,-3.97748344034733,intermediate
XYLT2,3,7,-2.41119543298445,final
CHDH,1,0,0,initial
CHDH,2,7,-3,final
GLT8D1,1,0,0,initial
