Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0035970~peptidyl-threonine dephosphorylation	4	6.779661016949152	8.99546107875478E-6	PDP1, DUSP5, DUSP10, DUSP1	59	14	19416	94.02421307506053	0.005051664573383241	0.005064444587338941	0.005064444587338941
GOTERM_BP_DIRECT	GO:1990830~cellular response to leukemia inhibitory factor	6	10.16949152542373	1.8384529275586082E-5	NME7, CTH, PIGA, B3GNT2, LRAT, HK2	59	109	19416	18.11475664748873	0.01029720216193164	0.005175244991077482	0.005175244991077482
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	12	20.33898305084746	7.279674573141141E-5	ERN1, DUSP5, PTPRE, WEE1, DYRK3, DUSP10, DUSP1, PIM3, OXSR1, SGK1, EPHA2, FGFR1	59	917	19416	4.306452507254681	0.04015748964408439	0.013661522615594874	0.013661522615594874
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	7	11.864406779661017	2.30725299437212E-4	ERN1, DYRK3, MAP3K20, PIM3, OXSR1, SGK1, FGFR1	59	292	19416	7.88901787787323	0.12182846239697087	0.03247458589578759	0.03247458589578759
GOTERM_BP_DIRECT	GO:0006139~nucleobase-containing compound metabolic process	3	5.084745762711865	0.00605350720795336	PRPS2, UPP1, POLR1H	59	39	19416	25.314211212516298	0.9672378676306894	0.503062795710382	0.503062795710382
GOTERM_BP_DIRECT	GO:0006661~phosphatidylinositol biosynthetic process	3	5.084745762711865	0.007995560727267568	IMPA1, PIP5K1A, SYNJ2	59	45	19416	21.93898305084746	0.9891065458290836	0.503062795710382	0.503062795710382
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	4	6.779661016949152	0.008313738542741764	ERN1, MAP3K20, OXSR1, FGFR1	59	139	19416	9.47006462626509	0.9909065427042606	0.503062795710382	0.503062795710382
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	6	10.16949152542373	0.008607478185867443	PLA2G4B, MAP3K20, HK2, CHST2, MGLL, EPHA2	59	424	19416	4.656859609849697	0.9923034772142769	0.503062795710382	0.503062795710382
GOTERM_BP_DIRECT	GO:0006811~monoatomic ion transport	4	6.779661016949152	0.00881224861553352	SLC6A8, SLC20A2, SLCO4A1, SLC20A1	59	142	19416	9.26999283838625	0.9931484839941643	0.503062795710382	0.503062795710382
GOTERM_BP_DIRECT	GO:0009166~nucleotide catabolic process	2	3.389830508474576	0.008935396016170197	NT5E, UPP1	59	3	19416	219.3898305084746	0.9936113868671453	0.503062795710382	0.503062795710382
