Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0019369~arachidonate metabolic process	9	1.1138613861386137	1.5574085911104825E-4	ABHD12, GPX4, CYP4F3, EPHX1, CYP4A11, FAAH2, ABHD6, ALOX12, CYP4F12	799	39	19416	5.607778954462308	0.41888067415346664	0.010240696113245342	0.009952722449228688
GOTERM_BP_DIRECT	GO:0008203~cholesterol metabolic process	13	1.608910891089109	1.59273698596661E-4	ABCA1, CUBN, CYP51A1, CYP3A4, CYP27A1, CYP2C9, EBP, NSDHL, NPC1, CAT, APOC1, FDXR, APOE	799	84	19416	3.7607723940640088	0.42599263299259527	0.010279052585358585	0.009990000317535015
GOTERM_BP_DIRECT	GO:0035790~platelet-derived growth factor receptor-alpha signaling pathway	10	1.2376237623762376	1.761371775567848E-4	DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, EPHA1, IGF1R	799	50	19416	4.8600750938673345	0.4587598129472379	0.011160692068825365	0.010846847643360547
GOTERM_BP_DIRECT	GO:0038084~vascular endothelial growth factor signaling pathway	11	1.3613861386138615	2.0119708670794472E-4	DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, PIK3CD, EPHA1, IGF1R	799	62	19416	4.311356938108119	0.5040312674739904	0.012388503773130012	0.012040132648376283
GOTERM_BP_DIRECT	GO:0038145~macrophage colony-stimulating factor signaling pathway	10	1.2376237623762376	2.0617882893587969E-4	DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, EPHA1, IGF1R	799	51	19416	4.7647795037915035	0.5125693729675942	0.012388503773130012	0.012040132648376283
GOTERM_BP_DIRECT	GO:0038109~Kit signaling pathway	10	1.2376237623762376	2.0617882893587969E-4	DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, EPHA1, IGF1R	799	51	19416	4.7647795037915035	0.5125693729675942	0.012388503773130012	0.012040132648376283
GOTERM_BP_DIRECT	GO:0006636~unsaturated fatty acid biosynthetic process	6	0.7425742574257426	2.4648536533599795E-4	SCD, ELOVL2, ELOVL3, SCD5, ELOVL6, FADS1	799	15	19416	9.720150187734669	0.5764600266397157	0.014341231404853815	0.013937948570513593
GOTERM_BP_DIRECT	GO:0006811~monoatomic ion transport	17	2.103960396039604	2.469078577593196E-4	SLC12A2, SLC24A4, SLC15A2, SLC24A3, SLC36A2, SLC12A5, SLC8A1, SLC9A2, SLCO3A1, HEPH, SLC22A18, SLC9A9, SLC26A7, SLC15A3, SLC12A6, SLC26A4, SLC24A5	799	142	19416	2.909199880131855	0.577083335786966	0.014341231404853815	0.013937948570513593
GOTERM_BP_DIRECT	GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process	7	0.8663366336633664	2.6184314580928597E-4	FIG4, PIKFYVE, SYNJ1, PIK3R3, PIK3CD, PIK3C2G, PIK3C2B	799	23	19416	7.3957664471894216	0.5985381838063906	0.01451553560613442	0.014107351247626194
GOTERM_BP_DIRECT	GO:0008210~estrogen metabolic process	8	0.9900990099009901	2.6394711158403097E-4	CYP2C9, HSD17B4, CYP3A4, HSD17B10, CYP3A5, UGT1A7, UGT2B7, CYP3A7	799	32	19416	6.075093867334168	0.6014718334668614	0.01451553560613442	0.014107351247626194
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	19	2.3514851485148514	2.6413116568187775E-4	RNF31, PRKN, SHPRH, MARCHF1, UBE2D4, RNF180, AMFR, HUWE1, WWP1, UBE2E2, UBE3B, RNF144B, NPEPPS, RNF19A, UBE2U, MARCHF8, STUB1, TRIM32, MARCHF5	799	172	19416	2.68434380184533	0.6017274463076314	0.01451553560613442	0.014107351247626194
GOTERM_BP_DIRECT	GO:0018916~nitrobenzene metabolic process	4	0.49504950495049505	2.682094333810333E-4	GSTM4, GSTM3, GSTM2, GSTM1	799	4	19416	24.30037546933667	0.6073494493442343	0.01451553560613442	0.014107351247626194
GOTERM_BP_DIRECT	GO:0035725~sodium ion transmembrane transport	16	1.9801980198019802	2.7073452350035506E-4	SLC12A2, HCN3, SLC24A4, SLC24A3, SLC13A4, SLC23A1, SLC6A13, ATP1B3, SLC6A11, SLC6A20, SLC6A2, SLC8A1, SLC5A9, SLC6A9, SLC24A5, SLC38A4	799	129	19416	3.0140000582123005	0.6107905147399944	0.01451553560613442	0.014107351247626194
GOTERM_BP_DIRECT	GO:0006027~glycosaminoglycan catabolic process	5	0.6188118811881188	3.023889756586094E-4	IDUA, HYAL2, FUCA1, HYAL4, IDS	799	9	19416	13.500208594075927	0.6514539587620283	0.015967054245003845	0.015518052432662275
GOTERM_BP_DIRECT	GO:0006486~protein glycosylation	15	1.8564356435643563	3.18462524583002E-4	ST6GALNAC2, POGLUT1, ALG6, FUT10, B3GAT1, B3GALT4, NAGPA, DPM3, EXTL1, NPC1, MAN1A2, MGAT4B, GCNT2, MAN1B1, ST6GALNAC6	799	117	19416	3.1154327524790606	0.6704471875236645	0.01630787859107155	0.015849292622083025
GOTERM_BP_DIRECT	GO:0031547~brain-derived neurotrophic factor receptor signaling pathway	10	1.2376237623762376	3.228819577572273E-4	DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, EPHA1, IGF1R	799	54	19416	4.500069531358642	0.6754855852245218	0.01630787859107155	0.015849292622083025
GOTERM_BP_DIRECT	GO:0035791~platelet-derived growth factor receptor-beta signaling pathway	10	1.2376237623762376	3.228819577572273E-4	DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, EPHA1, IGF1R	799	54	19416	4.500069531358642	0.6754855852245218	0.01630787859107155	0.015849292622083025
GOTERM_BP_DIRECT	GO:0006865~amino acid transport	9	1.1138613861386137	3.742403058273366E-4	SLC36A2, SLC7A8, SLC6A13, SLC6A11, SLC1A4, SLC16A10, SLC6A20, SLC6A2, SLC38A4	799	44	19416	4.970531346000682	0.7286841324575959	0.018631820940118116	0.018107884511959844
GOTERM_BP_DIRECT	GO:0048012~hepatocyte growth factor receptor signaling pathway	10	1.2376237623762376	4.2751316041102715E-4	DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, EPHA1, IGF1R	799	56	19416	4.339352762381549	0.7746728487358036	0.020692824500450412	0.020110931587668735
GOTERM_BP_DIRECT	GO:0006612~protein targeting to membrane	10	1.2376237623762376	4.2751316041102715E-4	PIKFYVE, ZDHHC20, TAOK2, ZDHHC12, ZDHHC23, ZDHHC24, ZDHHC21, ZDHHC1, ZDHHC3, ZDHHC4	799	56	19416	4.339352762381549	0.7746728487358036	0.020692824500450412	0.020110931587668735
