ID_REF,SYMBOL,cluster,UT_1,UT_3,T1h_CYHX_1h,T2h_CYHX_2h,T4h_CYHX_4h
7897449,SPSB1,SRG,-0.0895788660000001,0.0895788660000001,0.179042618,0.349008399000001,0.354662649
7899343,GPR3,ILG,-0.00198174800000039,0.00198174799999862,0.526071286999999,0.688992306999999,1.093103157
7900365,MFSD2A,ILG,-0.1190762785,0.1190762785,0.333871283500001,0.5884012425,0.8756772375
7902227,GADD45A,DEG,0.0198064230000004,-0.0198064230000004,0.497607041,0.926552375,1.313293015
7902592,ARID3B,SRG,-0.0803495099999996,0.0803495100000013,-0.0698843979999992,0.0332898020000005,0.145321148000001
7902687,CYR61,IEG,0.158762481,-0.158762481,1.328096635,1.952988284,1.714769324
7902861,LRRC8B,SRG,0.0743602200000009,-0.0743602199999991,-0.114548611999998,-0.0394446299999984,-0.0381883799999994
7903369,SLC30A7,SRG,0.0949703849999999,-0.0949703849999999,-0.184447734999999,0.0690139550000008,0.173365405
7906564,PEA15,SRG,-0.000515690000000291,0.000515690000000291,-0.00911608000000008,0.0613890800000014,0.250814
7906863,UAP1,SRG,-0.0711047849999993,0.0711047850000011,-0.0903743049999992,-0.0233867749999987,0.144845815
7907830,QSOX1,ILG,-0.158411665500001,0.158411665499999,0.222206719499999,0.2694908855,0.431361749499999
7908917,BTG2,IEG,0.00522942549999961,-0.00522942550000138,1.2407994755,1.7007476455,1.4632992655
7909332,CD55,SRG,-0.0199047500000002,0.0199047500000002,-0.12655129,0.0598829700000003,0.234060940000001
7910680,GPR137B,SRG,0.037860285999999,-0.0378602860000008,0.282467956,0.101126786,-0.109070851
7912157,ERRFI1,DEG,0.0428276600000004,-0.0428276600000004,0.0398130499999994,0.39648131,0.552143470000001
7912706,EPHA2,SRG,0.111742931499998,-0.1117429315,0.374377640499999,0.534034520499999,0.4819001325
7915015,GNL2,SRG,0.0622266449999991,-0.0622266450000009,-0.176913525,0.028061984999999,0.307323204999999
7915084,YRDC,IEG,-0.300894295000001,0.300894294999999,0.578482204999998,0.783378004999998,0.924675994999998
7915472,SLC2A1,DEG,-0.106762255,0.106762255,-0.0847030950000001,0.214505835000001,0.482931315
7917338,BCL10,ILG,-0.0891208419999998,0.0891208419999998,0.315891175999999,0.687425734,0.985453293999999
7917472,GTF2B,DEG,0.121361105,-0.121361105,-0.0505077949999997,0.342843824999999,0.786762375
7918284,TAF13,SRG,-0.142920984,0.142920984,0.128249627000001,0.420445072,0.371783092999999
7919751,MCL1,ILG,-0.0344253300000013,0.0344253299999995,0.439788869999999,0.92690595,0.881236549999999
7921099,CRABP2,SRG,-0.2413442155,0.2413442155,0.0615059915000007,0.1979143765,0.2197782135
7922976,PTGS2,ILG,0.1718378035,-0.1718378035,1.7962921805,3.4322345755,4.0023313835
