ID_REF,SYMBOL,cluster,UT_1,UT_3,T0.5h,T1h,T2h_1,T2h_2,T2h_3,T3h,T4h,T6h,T8h,T10h
7897449,SPSB1,SRG,-0.0895788660000001,0.0895788660000001,0.105836068,0.171497617,0.281995124,0.11517896,0.237510807,0.460627687000001,0.405837744999999,0.644800754,0.801091222,0.768634352999999
7899343,GPR3,ILG,-0.00198174800000039,0.00198174799999862,0.245333235999999,0.429696486999999,0.560200806999999,0.767089416999999,0.732541786999999,0.991454287,1.183891587,1.141924127,1.320918837,1.247842127
7900365,MFSD2A,ILG,-0.1190762785,0.1190762785,0.177265785499999,0.3392561015,0.620644050500001,0.680912944500001,0.4325458255,0.906274207500001,1.2284943475,1.3328992475,1.2707145175,1.2715150575
7902227,GADD45A,DEG,0.0198064230000004,-0.0198064230000004,-0.157029080999999,-0.0920324560000001,0.0294852389999996,0.0723862000000004,0.0297977710000001,0.260797463000001,0.266330586,0.623038525,0.818874095,0.654138535
7902592,ARID3B,SRG,-0.0803495099999996,0.0803495100000013,-0.0641804529999987,0.0482448900000012,0.032105790000001,0.169946113000002,-0.0713906459999993,0.032105790000001,0.0527096490000005,0.622811719000001,0.716543089000002,0.704533309000002
7902687,CYR61,IEG,0.158762481,-0.158762481,0.612698793,0.880216629,0.734970359,0.684488549999999,0.652872082,0.620589505,0.876568814000001,0.997975965,1.03441081,0.976694237
7902861,LRRC8B,SRG,0.0743602200000009,-0.0743602199999991,-0.177872614999998,-0.0738031099999983,-0.00157742999999932,-0.0973047499999993,0.0176575900000007,0.161378780000001,0.325448640000001,0.565804040000002,0.694977230000001,0.560655690000001
7903369,SLC30A7,SRG,0.0949703849999999,-0.0949703849999999,-0.0159857549999991,-0.181087095000001,0.166735705000001,0.0707785249999997,0.0404294850000007,0.372727625,0.400700795000001,0.469969705,0.501029785,0.488338815000001
7906564,PEA15,SRG,-0.000515690000000291,0.000515690000000291,-0.0509220699999986,0.05651954,0.159269590000001,0.10716798,0.0251374700000007,0.093042650000001,0.306620580000001,0.52439672,0.5917306,0.57681846
7906863,UAP1,SRG,-0.0711047849999993,0.0711047850000011,0.133815725,0.0718890549999998,0.208675405000001,0.208161115000001,0.0792189949999997,0.439952695000001,0.464307735,0.656790525,0.737254645,0.562153305000001
7907830,QSOX1,ILG,-0.158411665500001,0.158411665499999,0.2512561585,0.270211525499999,0.456514671499999,0.4363391475,0.4605415855,0.579050949499999,0.7236496665,0.9798687315,1.1125735115,1.3067223615
7908917,BTG2,IEG,0.00522942549999961,-0.00522942550000138,0.375742755499999,0.688768055499999,1.0197169755,0.9653775155,1.0749770655,1.2188683355,1.3021042555,1.2341343555,1.0617786955,1.0475618455
7909332,CD55,SRG,-0.0199047500000002,0.0199047500000002,-0.0957223200000001,-0.14615423,0.00772899000000038,0.0878805099999997,0.00850274999999989,0.31369976,0.36577145,0.49315696,0.58077042,0.627055889999999
7910680,GPR137B,SRG,0.037860285999999,-0.0378602860000008,0.235768626,0.119633916,0.209140396,0.209091936,0.117472085999999,0.438533066,0.477829126,0.792831626,0.764258055999999,0.785709536000001
7912157,ERRFI1,DEG,0.0428276600000004,-0.0428276600000004,-0.0810746899999994,0.0225456099999999,0.36032434,0.21973974,0.19094159,0.55039487,0.423188079999999,0.630185900000001,0.717518869999999,0.38697228
7912706,EPHA2,SRG,0.111742931499998,-0.1117429315,-0.0386743935000009,0.1732630795,0.3007829835,0.379449724499999,0.276673343499999,0.610930574499999,0.948082764499999,1.6000713035,1.7298078235,1.7079798635
7915015,GNL2,SRG,0.0622266449999991,-0.0622266450000009,-0.117793315,-0.169257925,0.0564971449999998,0.00150902500000072,0.0185253349999996,0.334747775,0.293905255,0.372774505000001,0.436616375,0.456126005
7915084,YRDC,IEG,-0.300894295000001,0.300894294999999,0.368814004999999,0.482167674999998,0.804931104999998,0.811997294999998,0.840186754999998,0.833019874999998,0.975569294999998,0.914501904999998,1.002150515,1.125507645
7915472,SLC2A1,DEG,-0.106762255,0.106762255,-0.0564916449999995,-0.197310634999999,0.0319757450000004,0.0568536149999996,0.0307916650000006,0.265942875,0.291150035000001,0.172066265,0.299878175,0.385590755000001
7917338,BCL10,ILG,-0.0891208419999998,0.0891208419999998,0.197882511,0.225355849,0.640665274,0.468055332999999,0.463178287,0.667608244,0.747931123999999,0.921773384,0.910331694,0.944286834
7917472,GTF2B,DEG,0.121361105,-0.121361105,-0.037066105000001,-0.0927345650000007,0.264709074999999,0.114347935,0.112517655,0.376615025,0.538960934999999,0.678175995,0.688193914999999,0.639649705
7918284,TAF13,SRG,-0.142920984,0.142920984,0.181301487000001,-0.098533616000001,0.199166427,0.160359175,-0.10778067,0.394988197,0.464135645000001,0.804136221,1.016996563,0.957329022
7919751,MCL1,ILG,-0.0344253300000013,0.0344253299999995,0.12558505,0.27008457,0.5079104,0.40385395,0.48982848,0.561543819999999,0.58049688,0.694203979999999,0.727276929999999,0.773004709999999
7921099,CRABP2,SRG,-0.2413442155,0.2413442155,0.1405764375,-0.1958133035,0.1073592095,0.2470117435,0.112294476500001,0.430142802500001,0.4851196925,0.5350975975,0.8056312595,0.8905625935
7922976,PTGS2,ILG,0.1718378035,-0.1718378035,0.169534655500001,1.2612427565,2.1314758315,2.1021649795,1.7781870885,1.7666984615,2.1187762705,2.3399111995,2.6220913555,2.9971374435
7924977,PGBD5,SRG,-0.0745938699999993,0.0745938700000011,-0.125367731999999,-0.120120648,-0.0565026910000004,-0.0623585260000006,-0.123636368,0.33909087,0.581078868000001,0.73585924,0.605584582000001,0.602377531
